gps_lat,gps_long,lat,long,city,state,area,country,state_flag
31.78,-94.33,31.90378,-94.3952,Timpson,Texas,Shelby County,US,Texas
38.77,-88.01,38.73088,-88.08532,Olney,Illinois,Richland County,US,Illinois
28.85,-81.03,28.73972,-81.11506,Geneva,Florida,Seminole County,US,Florida
25.86,-96.76,26.10369,-97.16469,South Padre Island,Texas,Cameron County,US,Texas
37.23,-97.89,37.28669,-98.02589,Harper,Kansas,Harper County,US,Kansas
24.22,-81.67,24.56709,-81.73841999999998,Stock Island,Florida,Monroe County,US,Florida
33.35,-121.73,34.63915,-120.45794,Lompoc,California,Santa Barbara County,US,California
41.33,-107.77,41.79107,-107.23866,Rawlins,Wyoming,Carbon County,US,Wyoming
42.2,-94.52,42.26748,-94.73387,Lake City,Iowa,Calhoun County,US,Iowa
33.48,-98.6,33.595659999999995,-98.62561,Archer City,Texas,Archer County,US,Texas
25.07,-122.27,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
37.49,-105.01,37.62418,-104.78026,Walsenburg,Colorado,Huerfano County,US,Colorado
34.41,-114.48,34.4839,-114.32245,Lake Havasu City,Arizona,Mohave County,US,Arizona
35.17,-120.24,35.04275,-120.476,Nipomo,California,San Luis Obispo County,US,California
46.82,-94.53,47.10135,-94.58722,Walker,Minnesota,Cass County,US,Minnesota
48.19,-97.63,48.3986,-97.7412,Park River,North Dakota,Walsh County,US,North Dakota
32.71,-79.34,33.03767,-79.61313,Awendaw,South Carolina,Charleston County,US,South Carolina
35.51,-93.72,35.43731,-93.67297,Coal Hill,Arkansas,Johnson County,US,Arkansas
45.93,-71.68,46.21856,-71.76201,Plessisville,Quebec,Mauricie,CA,None
46.65,-77.12,46.10012,-77.49949000000002,Deep River,Ontario,,CA,None
36.51,-116.56,36.90856,-116.75923,Beatty,Nevada,Nye County,US,Nevada
25.04,-115.03,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
45.39,-73.09,45.43338,-73.04914000000002,Rougemont,Quebec,Monteregie,CA,None
35.3,-122.5,36.55524000000001,-121.92329,Carmel-by-the-Sea,California,Monterey County,US,California
49.56,-75.3,49.78344,-74.84919000000002,Chapais,Quebec,Nord-du-Quebec,CA,None
28.63,-112.1,28.82278,-111.94083,Bahia de Kino,Sonora,Hermosillo,MX,None
45.98,-87.98,45.80635,-87.98846,Quinnesec,Michigan,Dickinson County,US,Michigan
48.28,-111.51,48.50526,-111.85697,Shelby,Montana,Toole County,US,Montana
37.69,-94.88,37.51116,-94.83802,Girard,Kansas,Crawford County,US,Kansas
28.24,-81.15,28.2489,-81.28118,Saint Cloud,Florida,Osceola County,US,Florida
39.72,-98.32,39.78723,-98.21005,Mankato,Kansas,Jewell County,US,Kansas
26.49,-111.44,26.01217,-111.34888,Loreto,Baja California Sur,Loreto,MX,None
41.01,-103.96,41.18193,-104.06912,Pine Bluffs,Wyoming,Laramie County,US,Wyoming
28.89,-73.36,26.54124,-77.0636,Marsh Harbour,Central Abaco,,BS,None
41.67,-69.15,41.68206,-69.95974,Chatham,Massachusetts,Barnstable County,US,Massachusetts
42.54,-68.88,41.99344,-70.04975,Truro,Massachusetts,Barnstable County,US,Massachusetts
35.82,-66.38,32.38167,-64.67806,Saint George,Saint George,,BM,None
38.73,-121.52,38.71379,-121.46273,Elverta,California,Sacramento County,US,California
24.52,-118.81,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
24.03,-123.91,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
45.73,-85.57,45.31806,-85.2584,Charlevoix,Michigan,Charlevoix County,US,Michigan
48.36,-100.86,48.05612,-100.92932,Velva,North Dakota,McHenry County,US,North Dakota
29.54,-105.66,28.609720000000006,-105.94028,Ninguno [CERESO],Chihuahua,Aquiles Serdan,MX,None
37.03,-92.95,37.00116,-93.08157,Sparta,Missouri,Christian County,US,Missouri
30.5,-69.77,32.2949,-64.78303000000001,Hamilton,Hamilton city,,BM,None
49.87,-68.05,49.21679,-68.14894,Baie-Comeau,Quebec,Cote-Nord,CA,None
25.13,-112.25,25.26318,-111.77547,Ciudad Insurgentes,Baja California Sur,,MX,None
44.92,-80.82,44.56717,-80.94349,Owen Sound,Ontario,,CA,None
42.38,-98.65,42.45778,-98.64759,O'Neill,Nebraska,Holt County,US,Nebraska
24.82,-109.31,25.60084,-109.0523,Topolobampo,Sinaloa,,MX,None
36.41,-116.02,36.20829000000001,-115.98391,Pahrump,Nevada,Nye County,US,Nevada
30.52,-71.71,35.26768,-75.54236999999998,Buxton,North Carolina,Dare County,US,North Carolina
41.82,-118.35,40.97296,-117.73568,Winnemucca,Nevada,Humboldt County,US,Nevada
24.16,-78.75,24.7,-77.76666999999998,Andros Town,North Andros,,BS,None
33.71,-99.16,33.59426,-99.26035,Seymour,Texas,Baylor County,US,Texas
35.9,-66.24,32.38167,-64.67806,Saint George,Saint George,,BM,None
48.05,-115.74,48.38829000000001,-115.556,Libby,Montana,Lincoln County,US,Montana
49.37,-82.43,49.41694,-82.43308,Kapuskasing,Ontario,,CA,None
47.94,-88.27,47.41381,-88.29566,Eagle River,Michigan,Keweenaw County,US,Michigan
30.82,-81.16,30.66968,-81.46259,Fernandina Beach,Florida,Nassau County,US,Florida
36.03,-104.85,36.36114,-104.59527,Springer,New Mexico,Colfax County,US,New Mexico
32.21,-103.49,32.11318,-103.19351,Jal,New Mexico,Lea County,US,New Mexico
36.3,-91.71,36.22923,-91.76431,Horseshoe Bend,Arkansas,Izard County,US,Arkansas
24.08,-77.61,24.7,-77.76666999999998,Andros Town,North Andros,,BS,None
24.57,-116.16,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
28.36,-118.99,30.40722,-115.88722,Luis Rodriguez (El Vergel),Baja California,Ensenada,MX,None
35.11,-81.41,35.12124,-81.51592,Blacksburg,South Carolina,Cherokee County,US,South Carolina
43.2,-97.9,42.99333,-97.86285,Tyndall,South Dakota,Bon Homme County,US,South Dakota
25.54,-101.13,25.42321,-101.0053,Saltillo,Coahuila,,MX,None
44.89,-93.26,44.8833,-93.283,Richfield,Minnesota,Hennepin County,US,Minnesota
50.82,-114.94,51.08335,-115.35206,Canmore,Alberta,,CA,None
26.25,-116.26,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
36.16,-113.05,35.52916,-113.42549,Peach Springs,Arizona,Mohave County,US,Arizona
47.39,-86.46,46.4112,-86.64926,Munising,Michigan,Alger County,US,Michigan
33.67,-106.52,34.0584,-106.89142,Socorro,New Mexico,Socorro County,US,New Mexico
35.47,-84.58,35.44285,-84.59299,Athens,Tennessee,McMinn County,US,Tennessee
35.16,-89.29,35.2437,-89.35007,Somerville,Tennessee,Fayette County,US,Tennessee
36.43,-72.56,35.95739000000001,-75.62406,Nags Head,North Carolina,Dare County,US,North Carolina
47.63,-115.8,47.47409,-115.92794,Wallace,Idaho,Shoshone County,US,Idaho
32.08,-104.34,32.28623,-104.09577,Loving,New Mexico,Eddy County,US,New Mexico
